EntrezGeneID,EntrezGeneSymbol,UniProt
3329,HSPD1,P10809
3336,HSPE1,P61604
3337,DNAJB1,P25685
3338,DNAJC4,Q9NNZ3
3339,HSPG2,P98160
3340,NDST1,P52848
3346,HTN1,P15515
3356,HTR2A,P28223
3362,HTR6,P50406
3363,HTR7,P34969
3364,HUS1,O60921
3371,TNC,P24821
3373,HYAL1,Q12794
3376,IARS1,P41252
3381,IBSP,P21815
3383,ICAM1,P05362
3384,ICAM2,P13598
3385,ICAM3,P32942
3386,ICAM4,Q14773
3394,IRF8,Q02556
3396,MRPL58,Q14197
3397,ID1,P41134
3398,ID2,Q02363
3416,IDE,P14735
3417,IDH1,O75874
3421,IDH3G,P51553
3422,IDI1,Q13907
3423,IDS,P22304
3425,IDUA,P35475
3426,CFI,P05156
3428,IFI16,Q16666
3433,IFIT2,P09913
3437,IFIT3,O14879
3439,IFNA1,P01562
3440,IFNA2,P01563
3441,IFNA4,P05014
3442,IFNA5,P01569
3443,IFNA6,P05013
3444,IFNA7,P01567
3445,IFNA8,P32881
3446,IFNA10,P01566
3448,IFNA14,P01570
3449,IFNA16,P05015
3452,IFNA21,P01568
3454,IFNAR1,P17181
3456,IFNB1,P01574
3458,IFNG,P01579
3459,IFNGR1,P15260
3460,IFNGR2,P38484
3467,IFNW1,P05000
3475,IFRD1,O00458
3476,IGBP1,P78318
3479,IGF1,P05019
3480,IGF1R,P08069
3481,IGF2,P01344
3482,IGF2R,P11717
3483,IGFALS,P35858
3484,IGFBP1,P08833
3485,IGFBP2,P18065
3486,IGFBP3,P17936
3487,IGFBP4,P22692
3488,IGFBP5,P24593
3489,IGFBP6,P24592
3490,IGFBP7,Q16270
3491,CCN1,O00622
3493,IGHA1,P01876
3501,IGHG2,P01859
3503,IGHG4,P01861
3512,JCHAIN,P01591
3543,IGLL1,P15814
3549,IHH,Q14623
3550,IK,Q13123
3551,IKBKB,O14920
3552,IL1A,P01583
3553,IL1B,P01584
3554,IL1R1,P14778
3556,IL1RAP,Q9NPH3
3557,IL1RN,P18510
3558,IL2,P60568
3559,IL2RA,P01589
3560,IL2RB,P14784
3561,IL2RG,P31785
3562,IL3,P08700
3563,IL3RA,P26951
3565,IL4,P05112
3566,IL4R,P24394
3567,IL5,P05113
3568,IL5RA,Q01344
3569,IL6,P05231
3570,IL6R,P08887
3572,IL6ST,P40189
3574,IL7,P13232
3575,IL7R,P16871
3576,CXCL8,P10145
3578,IL9,P15248
3586,IL10,P22301
3587,IL10RA,Q13651
3588,IL10RB,Q08334
3589,IL11,P20809
3590,IL11RA,Q14626
3592,IL12A,P29459
3593,IL12B,P29460
3594,IL12RB1,P42701
3595,IL12RB2,Q99665
3596,IL13,P35225
3597,IL13RA1,P78552
3600,IL15,P40933
3601,IL15RA,Q13261
3603,IL16,Q14005
3604,TNFRSF9,Q07011
3605,IL17A,Q16552
3606,IL18,Q14116
3608,ILF2,Q12905
3609,ILF3,Q12906
3611,ILK,Q13418
3612,IMPA1,P29218
3613,IMPA2,O14732
3614,IMPDH1,P20839
3615,IMPDH2,P12268
3620,IDO1,P14902
3621,ING1,Q9UK53
3623,INHA,P05111
3624,INHBA,P08476
3625,INHBB,P09529
3626,INHBC,P55103
3630,INS,P01308
3631,INPP4A,Q96PE3
3632,INPP5A,Q14642
3633,INPP5B,P32019
3635,INPP5D,Q92835
3638,INSIG1,O15503
3640,INSL3,P51460
3641,INSL4,Q14641
3643,INSR,P06213
3645,INSRR,P14616
3655,ITGA6,P23229
3659,IRF1,P10914
3660,IRF2,P14316
3661,IRF3,Q14653
3662,IRF4,Q15306
3663,IRF5,Q13568
3664,IRF6,O14896
3670,ISL1,P61371
3673,ITGA2,P17301
3676,ITGA4,P13612
3678,ITGA5,P08648
3683,ITGAL,P20701
3684,ITGAM,P11215
3688,ITGB1,P05556
3689,ITGB2,P05107
3693,ITGB5,P18084
3694,ITGB6,P18564
3695,ITGB7,P26010
3697,ITIH1,P19827
3698,ITIH2,P19823
3699,ITIH3,Q06033
3700,ITIH4,Q14624
3704,ITPA,Q9BY32
3705,ITPK1,Q13572
3706,ITPKA,P23677
3712,IVD,P26440
3714,JAG2,Q9Y219
3717,JAK2,O60674
3720,JARID2,Q92833
3725,JUN,P05412
3727,JUND,P17535
3728,JUP,P14923
3730,ANOS1,P23352
3732,CD82,P27701
3735,KARS1,Q15046
3744,KCNA10,Q16322
3754,KCNF1,Q9H3M0
3780,KCNN1,Q92952
3791,KDR,P35968
3792,KEL,P23276
3795,KHK,P50053
3797,KIF3C,O14782
3802,KIR2DL1,P43626
3803,KIR2DL2,P43627
3804,KIR2DL3,P43628
3805,KIR2DL4,Q99706
3809,KIR2DS4,P43632
3811,KIR3DL1,P43629
3812,KIR3DL2,P43630
3813,KIR3DS1,Q14943
3814,KISS1,Q15726
3815,KIT,P10721
3817,KLK2,P20151
3818,KLKB1,P03952
3820,KLRB1,Q12918
3821,KLRC1,P26715
3823,KLRC3,Q07444
3827,KNG1,P01042
3831,KLC1,Q07866
3835,KIF22,Q14807
3836,KPNA1,P52294
3837,KPNB1,Q14974
3838,KPNA2,P52292
3840,KPNA4,O00629
3841,KPNA5,O15131
3845,KRAS,P01116
3852,KRT5,P13647
3853,KRT6A,P02538
3855,KRT7,P08729
3868,KRT16,P08779
3872,KRT17,Q04695
3875,KRT18,P05783
3880,KRT19,P08727
3897,L1CAM,P32004
3898,LAD1,O00515
3902,LAG3,P18627
3903,LAIR1,Q6GTX8
3904,LAIR2,Q6ISS4
3908,LAMA2,P24043
3909,LAMA3,Q16787
3910,LAMA4,Q16363
3912,LAMB1,P07942
3915,LAMC1,P11047
3916,LAMP1,P11279
3918,LAMC2,Q13753
3921,RPSA,P08865
3925,STMN1,P16949
3927,LASP1,Q14847
3929,LBP,P18428
3931,LCAT,P04180
3932,LCK,P06239
3933,LCN1,P31025
3934,LCN2,P80188
3936,LCP1,P13796
3938,LCT,P09848
3939,LDHA,P00338
3945,LDHB,P07195
3948,LDHC,P07864
3949,LDLR,P01130
3950,LECT2,O14960
3952,LEP,P41159
3953,LEPR,P48357
3956,LGALS1,P09382
3957,LGALS2,P05162
3958,LGALS3,P17931
3959,LGALS3BP,Q08380
3960,LGALS4,P56470
3963,LGALS7,P47929
3964,LGALS8,O00214
3965,LGALS9,O00182
3972,LHB,P01229
3973,LHCGR,P22888
3976,LIF,P15018
3977,LIFR,P42702
3984,LIMK1,P53667
3998,LMAN1,P49257
4001,LMNB1,P20700
4017,LOXL2,Q9Y4K0
4023,LPL,P06858
4025,LPO,P22079
4033,IRAG2,Q12912
4034,LRCH4,O75427
4035,LRP1,Q07954
4036,LRP2,P98164
4038,LRP4,O75096
4040,LRP6,O75581
4041,LRP5,O75197
4043,LRPAP1,P30533
4045,LSAMP,Q13449
4046,LSP1,P33241
4048,LTA4H,P09960
4049,LTA,P01374
4057,LTF,P02788
4058,LTK,P29376
4059,BCAM,P50895
4060,LUM,P51884
4063,LY9,Q9HBG7
4067,LYN,P07948
4068,SH2D1A,O60880
4069,LYZ,P61626
4070,TACSTD2,P09758
4077,NBR1,Q14596
4085,MAD2L1,Q13257
4086,SMAD1,Q15797
4087,SMAD2,Q15796
4088,SMAD3,P84022
4089,SMAD4,Q13485
4090,SMAD5,Q99717
4097,MAFG,O15525
4099,MAG,P20916
4102,MAGEA3,P43357
4103,MAGEA4,P43358
4105,MAGEA6,P43360
4107,MAGEA8,P43361
4109,MAGEA10,P43363
4116,MAGOH,P61326
4126,MANBA,O00462
4137,MAPT,P10636
4140,MARK3,P27448
4141,MARS1,P56192
4143,MAT1A,Q00266
4145,MATK,P42679
4147,MATN2,O00339
4148,MATN3,O15232
4149,MAX,P61244
4150,MAZ,P56270
4151,MB,P02144
4152,MBD1,Q9UIS9
4153,MBL2,P11226
4154,MBNL1,Q9NR56
4162,MCAM,P43121
4166,CHST6,Q9GZX3
4170,MCL1,Q07820
4175,MCM6,Q14566
4179,CD46,P15529
4185,ADAM11,O75078
4189,DNAJB9,Q9UBS3
4190,MDH1,P40925
4191,MDH2,P40926
4192,MDK,P21741
4193,MDM2,Q00987
4194,MDM4,O15151
4199,ME1,P48163
4200,ME2,P23368
4204,MECP2,P51608
4208,MEF2C,Q06413
4209,MEF2D,Q14814
4212,MEIS2,O14770
4215,MAP3K3,Q99759
4221,MEN1,O00255
4222,MEOX1,P50221
4223,MEOX2,P50222
4224,MEP1A,Q16819
4233,MET,P08581
4234,METTL1,Q9UBP6
4236,MFAP1,P55081
4237,MFAP2,P55001
4238,MFAP3,P55082
4239,MFAP4,P55083
4240,MFGE8,Q08431
4242,MFNG,O00587
4245,MGAT1,P26572
4246,SCGB2A1,O75556
4247,MGAT2,Q10469
4248,MGAT3,Q09327
4249,MGAT5,Q09328
4254,KITLG,P21583
4255,MGMT,P16455
4256,MGP,P08493
4277,MICB,Q29980
4282,MIF,P14174
4283,CXCL9,Q07325
4286,MITF,O75030
4287,ATXN3,P54252
4291,MLF1,P58340
4294,MAP3K10,Q02779
4295,MLN,P12872
4296,MAP3K11,Q16584
4303,FOXO4,P98177
4306,NR3C2,P08235
4311,MME,P08473
4312,MMP1,P03956
4313,MMP2,P08253
4314,MMP3,P08254
4316,MMP7,P09237
4317,MMP8,P22894
4318,MMP9,P14780
4319,MMP10,P09238
4321,MMP12,P39900
4322,MMP13,P45452
4323,MMP14,P50281
4325,MMP16,P51512
4326,MMP17,Q9ULZ9
4327,MMP19,Q99542
4329,ALDH6A1,Q02252
4331,MNAT1,P51948
4332,MNDA,P41218
4340,MOG,Q16653
4345,CD200,P41217
4350,MPG,P29372
4351,MPI,P34949
4352,MPL,P40238
4353,MPO,P05164
4355,MPP2,Q14168
4357,MPST,P25325
4359,MPZ,P25189
4360,MRC1,P22897
4361,MRE11,P49959
4436,MSH2,P43246
4477,MSMB,P08118
4478,MSN,P26038
4481,MSR1,P21757
4482,MSRA,Q9UJ68
4485,MST1,P26927
4486,MST1R,Q04912
4488,MSX2,P35548
4507,MTAP,Q13126
4515,MTCP1,P56278
4521,NUDT1,P36639
4522,MTHFD1,P11586
4582,MUC1,P15941
4593,MUSK,O15146
4595,MUTYH,Q9UIF7
4597,MVD,P53602
4598,MVK,Q03426
4599,MX1,P20591
4601,MXI1,P50539
4602,MYB,P10242
4604,MYBPC1,Q00872
4606,MYBPC2,Q14324
4607,MYBPC3,Q14896
4608,MYBPH,Q13203
4609,MYC,P01106
4634,MYL3,P08590
4635,MYL4,P12829
4636,MYL5,Q02045
4637,MYL6,P60660
4646,MYO6,Q9UM54
4653,MYOC,Q99972
4664,NAB1,Q13506
4665,NAB2,Q15742
4666,NACA,Q13765
4669,NAGLU,P54802
4670,HNRNPM,P52272
4673,NAP1L1,P55209
4674,NAP1L2,Q9ULW6
4676,NAP1L4,Q99733
4677,NARS1,O43776
4682,NUBP1,P53384
4684,NCAM1,P13591
4685,NCAM2,O15394
4686,NCBP1,Q09161
4688,NCF2,P19878
4690,NCK1,P16333
4691,NCL,P19338
4693,NDP,Q00604
4695,NDUFA2,O43678
4698,NDUFA5,Q16718
4712,NDUFB6,O95139
4714,NDUFB8,O95169
4716,NDUFB10,O96000
4724,NDUFS4,O43181
4729,NDUFV2,P19404
4733,DRG1,Q9Y295
4738,NEDD8,Q15843
4739,NEDD9,Q14511
4744,NEFH,P12036
4745,NELL1,Q92832
4747,NEFL,P07196
4753,NELL2,Q99435
4756,NEO1,Q92859
4758,NEU1,Q99519
4762,NEUROG1,Q92886
4772,NFATC1,O95644
4774,NFIA,Q12857
4776,NFATC4,Q14934
4779,NFE2L1,Q14494
4780,NFE2L2,Q16236
4790,NFKB1,P19838
4792,NFKBIA,P25963
4793,NFKBIB,Q15653
4800,NFYA,P23511
4803,NGF,P01138
4804,NGFR,P08138
4809,SNU13,P55769
4828,NMB,P08949
4830,NME1,P15531
4831,NME2,P22392
4833,NME4,O00746
4835,NQO2,P16083
4836,NMT1,P30419
4837,NNMT,P40261
4838,NODAL,Q96S42
4841,NONO,Q15233
4846,NOS3,P29474
4851,NOTCH1,P46531
4852,NPY,P01303
4853,NOTCH2,Q04721
4854,NOTCH3,Q9UM47
4856,CCN3,P48745
4857,NOVA1,P51513
4860,PNP,P00491
4869,NPM1,P06748
4878,NPPA,P01160
4879,NPPB,P16860
4880,NPPC,P23582
4884,NPTX1,Q15818
4885,NPTX2,P47972
4893,NRAS,P01111
4897,NRCAM,Q92823
4900,NRGN,Q92686
4901,NRL,P54845
4904,YBX1,P67809
4905,NSF,P46459
4907,NT5E,P21589
4908,NTF3,P20783
4909,NTF4,P34130
4914,NTRK1,P04629
4915,NTRK2,Q16620
4916,NTRK3,Q16288
4919,ROR1,Q01973
4920,ROR2,Q01974
4921,DDR2,Q16832
4922,NTS,P30990
4924,NUCB1,Q02818
4925,NUCB2,P80303
4928,NUP98,P52948
4931,NVL,O15381
4938,OAS1,P00973
4942,OAT,P04181
4943,TBC1D25,Q3MII6
4946,OAZ1,P54368
4952,OCRL,Q01968
4953,ODC1,P11926
4958,OMD,Q99983
4968,OGG1,O15527
4969,OGN,P20774
4973,OLR1,P78380
4974,OMG,P23515
4975,OMP,P47874
4978,OPCML,Q14982
4982,TNFRSF11B,O00300
4983,OPHN1,O60890
4990,SIX6,O95475
5007,OSBP,P22059
5008,OSM,P13725
5009,OTC,P00480
5013,OTX1,P32242
5015,OTX2,P32243
5019,OXCT1,P55809
5020,OXT,P01178
5033,P4HA1,P13674
5034,P4HB,P07237
5036,PA2G4,Q9UQ80
5037,PEBP1,P30086
5042,PABPC3,Q9H361
5045,FURIN,P09958
5047,PAEP,P09466
5049,PAFAH1B2,P68402
5050,PAFAH1B3,Q15102
5051,PAFAH2,Q99487
5052,PRDX1,Q06830
5054,SERPINE1,P05121
5055,SERPINB2,P05120
5063,PAK3,O75914
5064,PALM,O75781
5066,PAM,P19021
5067,CNTN3,Q9P232
5068,REG3A,Q06141
5069,PAPPA,Q13219
5071,PRKN,O60260
5074,PAWR,Q96IZ0
5077,PAX3,P23760
5078,PAX4,O43316
5082,PDCL,Q13371
5091,PC,P11498
5092,PCBD1,P61457
5093,PCBP1,Q15365
5094,PCBP2,Q15366
5097,PCDH1,Q08174
5098,PCDHGC3,Q9UN70
5100,PCDH8,O95206
5101,PCDH9,Q9HC56
5104,SERPINA5,P05154
5105,PCK1,P35558
5106,PCK2,Q16822
5110,PCMT1,P22061
5111,PCNA,P12004
5118,PCOLCE,Q15113
5119,CHMP1A,Q9HD42
5122,PCSK1,P29120
5126,PCSK2,P16519
5127,CDK16,Q00536
5133,PDCD1,Q15116
5136,PDE1A,P54750
5138,PDE2A,O00408
5139,PDE3A,Q14432
5141,PDE4A,P27815
5143,PDE4C,Q08493
5144,PDE4D,Q08499
5147,PDE6D,O43924
5149,PDE6H,Q13956
5150,PDE7A,Q13946
5152,PDE9A,O76083
5153,PDE1B,Q01064
5154,PDGFA,P04085
5155,PDGFB,P01127
5156,PDGFRA,P16234
5157,PDGFRL,Q15198
5159,PDGFRB,P09619
5161,PDHA2,P29803
5162,PDHB,P11177
5164,PDK2,Q15119
5168,ENPP2,Q13822
5169,ENPP3,O14638
5170,PDPK1,O15530
5173,PDYN,P01213
5174,PDZK1,Q5T2W1
5175,PECAM1,P16284
5176,SERPINF1,P36955
5179,PENK,P01210
5195,PEX14,O75381
5196,PF4,P02776
5197,PF4V1,P10720
5199,CFP,P27918
5201,PFDN1,O60925
5202,PFDN2,Q9UHV9
5203,PFDN4,Q9NQP4
5204,PFDN5,Q99471
5207,PFKFB1,P16118
5209,PFKFB3,Q16875
5210,PFKFB4,Q16877
5212,VIT,Q6UXI7
5213,PFKM,P08237
5216,PFN1,P07737
5217,PFN2,P35080
5223,PGAM1,P18669
5224,PGAM2,P15259
5226,PGD,P52209
5228,PGF,P49763
5230,PGK1,P00558
5232,PGK2,P07205
5236,PGM1,P36871
5239,PGM5,Q15124
5241,PGR,P06401
5251,PHEX,P78562
5255,PHKA1,P46020
5264,PHYH,O14832
5265,SERPINA1,P01009
5266,PI3,P19957
5267,SERPINA4,P29622
5268,SERPINB5,P36952
5270,SERPINE2,P07093
5271,SERPINB8,P50452
5272,SERPINB9,P50453
5275,SERPINB13,Q9UIV8
5276,SERPINI2,O75830
5284,PIGR,P01833
5286,PIK3C2A,O00443
5289,PIK3C3,Q8NEB9
5292,PIM1,P11309
5294,PIK3CG,P48736
5295,PIK3R1,P27986
5300,PIN1,Q13526
5303,PIN4,Q9Y237
5304,PIP,P12273
5305,PIP4K2A,P48426
5306,PITPNA,Q00169
5308,PITX2,Q99697
5309,PITX3,O75364
5311,PKD2,Q13563
5313,PKLR,P30613
5315,PKM,P14618
5318,PKP2,Q99959
5319,PLA2G1B,P04054
5320,PLA2G2A,P14555
5321,PLA2G4A,P47712
5322,PLA2G5,P39877
5327,PLAT,P00750
5328,PLAU,P00749
5329,PLAUR,Q03405
5333,PLCD1,P51178
5335,PLCG1,P19174
5336,PLCG2,P16885
5340,PLG,P00747
5341,PLEK,P08567
5345,SERPINF2,P08697
5347,PLK1,P53350
5352,PLOD2,O00469
5357,PLS1,Q14651
5358,PLS3,P13797
5360,PLTP,P55058
5361,PLXNA1,Q9UIW2
5365,PLXNB3,Q9ULL4
5368,PNOC,Q13519
5371,PML,P29590
5372,PMM1,Q92871
5373,PMM2,O15305
5375,PMP2,P02689
5395,PMS2,P54278
5396,PRRX1,P54821
5406,PNLIP,P16233
5407,PNLIPRP1,P54315
5408,PNLIPRP2,P54317
5409,PNMT,P11086
5412,UBL3,O95164
5413,SEPTIN5,Q99719
5423,POLB,P06746
5427,POLE2,P56282
5429,POLH,Q9Y253
5432,POLR2C,P19387
5434,POLR2E,P19388
5435,POLR2F,P61218
5438,POLR2I,P36954
5439,POLR2J,P52435
5440,POLR2K,P53803
5443,POMC,P01189
5444,PON1,P27169
5445,PON2,Q15165
5447,POR,P16435
5450,POU2AF1,Q16633
5451,POU2F1,P14859
5463,POU6F1,Q14863
5464,PPA1,Q15181
5465,PPARA,Q07869
5468,PPARG,P37231
5469,MED1,Q15648
5473,PPBP,P02775
5476,CTSA,P10619
5478,PPIA,P62937
5479,PPIB,P23284
5480,PPIC,P45877
5481,PPID,Q08752
5494,PPM1A,P35813
5495,PPM1B,O75688
5496,PPM1G,O15355
5501,PPP1CC,P36873
5502,PPP1R1A,Q13522
5504,PPP1R2,P41236
5511,PPP1R8,Q12972
5514,PPP1R10,Q96QC0
5518,PPP2R1A,P30153
5523,PPP2R3A,Q06190
5524,PTPA,Q15257
5525,PPP2R5A,Q15172
5528,PPP2R5D,Q14738
5531,PPP4C,P60510
5534,PPP3R1,P63098
5535,PPP3R2,Q96LZ3
5538,PPT1,P50897
5539,PPY,P01298
5547,PRCP,P42785
5550,PREP,P48147
5552,SRGN,P10124
5553,PRG2,P13727
5557,PRIM1,P49642
5566,PRKACA,P17612
5573,PRKAR1A,P10644
5575,PRKAR1B,P31321
5576,PRKAR2A,P13861
5577,PRKAR2B,P31323
5578,PRKCA,P17252
5579,PRKCB,P05771
5580,PRKCD,Q05655
5582,PRKCG,P05129
5584,PRKCI,P41743
5585,PKN1,Q16512
5586,PKN2,Q16513
5588,PRKCQ,Q04759
5589,PRKCSH,P14314
5590,PRKCZ,Q05513
5592,PRKG1,Q13976
5594,MAPK1,P28482
5595,MAPK3,P27361
5597,MAPK6,Q16659
5599,MAPK8,P45983
5600,MAPK11,Q15759
5601,MAPK9,P45984
5602,MAPK10,P53779
5603,MAPK13,O15264
5604,MAP2K1,Q02750
5605,MAP2K2,P36507
5606,MAP2K3,P46734
5607,MAP2K5,Q13163
5608,MAP2K6,P52564
5617,PRL,P01236
5618,PRLR,P16471
5621,PRNP,P04156
5623,PSPN,O60542
5624,PROC,P04070
5627,PROS1,P07225
5631,PRPS1,P60891
5634,PRPS2,P11908
5635,PRPSAP1,Q14558
5636,PRPSAP2,O60256
5638,PRRG1,O14668
5641,LGMN,Q99538
5644,PRSS1,P07477
5645,PRSS2,P07478
5646,PRSS3,P35030
5648,MASP1,P48740
5649,RELN,P78509
5650,KLK7,P49862
5651,TMPRSS15,P98073
5652,PRSS8,Q16651
5653,KLK6,Q92876
5654,HTRA1,Q92743
5655,KLK10,O43240
5657,PRTN3,P24158
5660,PSAP,P07602
5662,PSD,A5PKW4
5669,PSG1,P11464
5670,PSG2,P11465
5671,PSG3,Q16557
5672,PSG4,Q00888
5675,PSG6,Q00889
5676,PSG7,Q13046
5678,PSG9,Q00887
5680,PSG11,Q9UQ72
5682,PSMA1,P25786
5683,PSMA2,P25787
5684,PSMA3,P25788
5685,PSMA4,P25789
5686,PSMA5,P28066
5687,PSMA6,P60900
5688,PSMA7,O14818
5689,PSMB1,P20618
5690,PSMB2,P49721
5691,PSMB3,P49720
5692,PSMB4,P28070
5693,PSMB5,P28074
5694,PSMB6,P28072
5695,PSMB7,Q99436
5697,PYY,P10082
5698,PSMB9,P28065
5699,PSMB10,P40306
5702,PSMC3,P17980
5705,PSMC5,P62195
5710,PSMD4,P55036
5711,PSMD5,Q16401
5713,PSMD7,P51665
5715,PSMD9,O00233
5716,PSMD10,O75832
5717,PSMD11,O00231
5720,PSME1,Q06323
5721,PSME2,Q9UL46
5723,PSPH,P78330
5728,PTEN,P60484
5730,PTGDS,P41222
5738,PTGFRN,Q9P2B2
5741,PTH,P01270
5743,PTGS2,P35354
5744,PTHLH,P12272
5745,PTH1R,Q03431
5747,PTK2,Q05397
5753,PTK6,Q13882
5754,PTK7,Q13308
5756,TWF1,Q12792
5764,PTN,P21246
5768,QSOX1,O00391
5770,PTPN1,P18031
5771,PTPN2,P17706
5775,PTPN4,P29074
5777,PTPN6,P29350
5778,PTPN7,P35236
5780,PTPN9,P43378
5781,PTPN11,Q06124
5783,PTPN13,Q12923
5789,PTPRD,P23468
5794,PTPRH,Q9HD43
5795,PTPRJ,Q12913
5798,PTPRN,Q16849
5801,PTPRR,Q15256
5802,PTPRS,Q13332
5805,PTS,Q03393
5806,PTX3,P26022
5810,RAD1,O60671
5813,PURA,Q00577
5814,PURB,Q96QR8
5817,PVR,P15151
5818,NECTIN1,Q15223
5819,NECTIN2,Q92692
5826,ABCD4,O14678
5830,PEX5,P50542
5831,PYCR1,P32322
5834,PYGB,P11216
5836,PYGL,P06737
5858,PZP,P20742
5860,QDPR,P09417
5861,RAB1A,P62820
5862,RAB2A,P61019
5864,RAB3A,P20336
5865,RAB3B,P20337
5866,RAB3IL1,Q8TBN0
5867,RAB4A,P20338
5868,RAB5A,P20339
5869,RAB5B,P61020
5870,RAB6A,P20340
5872,RAB13,P51153
5873,RAB27A,P51159
5874,RAB27B,O00194
5877,RABIF,P47224
5878,RAB5C,P51148
5879,RAC1,P63000
5880,RAC2,P15153
5881,RAC3,P60763
5886,RAD23A,P54725
5887,RAD23B,P54727
5888,RAD51,Q06609
5889,RAD51C,O43502
5892,RAD51D,O75771
5894,RAF1,P04049
5896,RAG1,P15918
5898,RALA,P11233
5901,RAN,P62826
5902,RANBP1,P43487
5905,RANGAP1,P46060
5909,RAP1GAP,P47736
5910,RAP1GDS1,P52306
5911,RAP2A,P10114
5918,RARRES1,P49788
5919,RARRES2,Q99969
5920,PLAAT4,Q9UL19
5921,RASA1,P20936
5925,RB1,P06400
5928,RBBP4,Q09028
5929,RBBP5,Q15291
5930,RBBP6,Q7Z6E9
5933,RBL1,P28749
5934,RBL2,Q08999
5935,RBM3,P98179
5936,RBM4,Q9BWF3
5937,RBMS1,P29558
5947,RBP1,P09455
5950,RBP4,P02753
5957,RCVRN,P35243
5962,RDX,P35241
5965,RECQL,P46063
5967,REG1A,P05451
5968,REG1B,P48304
5971,RELB,Q01201
5972,REN,P00797
5979,RET,P07949
5986,RFNG,Q9Y644
5987,TRIM27,P14373
5993,RFX5,P48382
5994,RFXAP,O00287
5996,RGS1,Q08116
5998,RGS3,P49796
5999,RGS4,P49798
6000,RGS7,P49802
6001,RGS10,O43665
6003,RGS13,O14921
6004,RGS16,O15492
6017,RLBP1,P12271
6035,RNASE1,P07998
6036,RNASE2,P10153
6037,RNASE3,P12724
6038,RNASE4,P34096
6039,RNASE6,Q93091
6046,BRD2,P25440
6051,RNPEP,Q9H4A4
6091,ROBO1,Q9Y6N7
6092,ROBO2,Q9HCK4
6096,RORB,Q92753
6097,RORC,P51449
6098,ROS1,P08922
6100,RP9,Q8TA86
6118,RPA2,P15927
6120,RPE,Q96AT9
6125,RPL5,P46777
6135,RPL11,P62913
6136,RPL12,P30050
6156,RPL30,P62888
6169,RPL38,P63173
6181,RPLP2,P05387
6182,MRPL12,P52815
6184,RPN1,P04843
6188,RPS3,P23396
6189,RPS3A,P61247
6191,RPS4X,P62701
6193,RPS5,P46782
6195,RPS6KA1,Q15418
6197,RPS6KA3,P51812
6198,RPS6KB1,P23443
6199,RPS6KB2,Q9UBS0
6201,RPS7,P62081
6206,RPS12,P25398
6208,RPS14,P62263
6223,RPS19,P39019
6224,RPS20,P60866
6230,RPS25,P62851
6233,RPS27A,P62979
6236,RRAD,P55042
6237,RRAS,P10301
6238,RRBP1,Q9P2E9
6240,RRM1,P23921
6241,RRM2,P31350
6242,RTKN,Q9BST9
6247,RS1,O15537
6252,RTN1,Q16799
6256,RXRA,P19793
6259,RYK,P34925
6272,SORT1,Q99523
6273,S100A2,P29034
6274,S100A3,P33764
6275,S100A4,P26447
6276,S100A5,P33763
6277,S100A6,P06703
6278,S100A7,P31151
6279,S100A8,P05109
6280,S100A9,P06702
6281,S100A10,P60903
6282,S100A11,P31949
6283,S100A12,P80511
6284,S100A13,Q99584
6286,S100P,P25815
6288,SAA1,P0DJI8
6289,SAA2,P0DJI9
6291,SAA4,P35542
6295,SAG,P10523
6300,MAPK12,P53778
6301,SARS1,P49591
6303,SAT1,P21673
6304,SATB1,Q01826
6317,SERPINB3,P29508
6318,SERPINB4,P48594
6320,CLEC11A,Q9Y240
6327,SCN2B,O60939
6330,SCN4B,Q8IWT1
6341,SCO1,O75880
6342,SCP2,P22307
6343,SCT,P09683
6345,SRL,Q86TD4
6346,CCL1,P22362
6347,CCL2,P13500
6348,CCL3,P10147
6352,CCL5,P13501
6354,CCL7,P80098
6355,CCL8,P80075
6356,CCL11,P51671
6357,CCL13,Q99616
6358,CCL14,Q16627
6359,CCL15,Q16663
6360,CCL16,O15467
6361,CCL17,Q92583
6362,CCL18,P55774
6363,CCL19,Q99731
6364,CCL20,P78556
6366,CCL21,O00585
6367,CCL22,O00626
6368,CCL23,P55773
6369,CCL24,O00175
6370,CCL25,O15444
6372,CXCL6,P80162
6373,CXCL11,O14625
6374,CXCL5,P42830
6375,XCL1,P47992
6376,CX3CL1,P78423
6386,SDCBP,O00560
6387,CXCL12,P48061
6388,SDF2,Q99470
6390,SDHB,P21912
6396,SEC13,P55735
6398,SECTM1,Q8WVN6
6399,TRAPPC2,P0DI81
6401,SELE,P16581
6402,SELL,P14151
6403,SELP,P16109
6404,SELPLG,Q14242
6406,SEMG1,P04279
6415,SELENOW,P63302
6416,MAP2K4,P45985
6418,SET,Q01105
6419,SETMAR,Q53H47
6422,SFRP1,Q8N474
6423,SFRP2,Q96HF1
6424,SFRP4,Q6FHJ7
6425,SFRP5,Q5T4F7
6431,SRSF6,Q13247
6432,SRSF7,Q16629
6434,TRA2B,P62995
6439,SFTPB,P07988
6441,SFTPD,P35247
6446,SGK1,O00141
6447,SCG5,P05408
6448,SGSH,P51688
6449,SGTA,O43765
6451,SH3BGRL,O75368
6452,SH3BP2,P78314
6453,ITSN1,Q15811
6456,SH3GL2,Q99962
6457,SH3GL3,Q99963
6462,SHBG,P04278
6464,SHC1,P29353
6469,SHH,Q15465
6470,SHMT1,P34896
6472,SHMT2,P34897
6473,SHOX,O15266
6477,SIAH1,Q8IUQ4
