EntrezGeneID,EntrezGeneSymbol,UniProt
730,C7,P10643
733,C8G,P07360
735,C9,P02748
744,MPPED2,Q15777
745,MYRF,Q9Y2G1
753,LDLRAD4,O15165
759,CA1,P00915
760,CA2,P00918
761,CA3,P07451
762,CA4,P22748
763,CA5A,P35218
765,CA6,P23280
766,CA7,P43166
767,CA8,P35219
768,CA9,Q16790
770,CA11,O75493
771,CA12,O43570
780,DDR1,Q08345
784,CACNB3,P54284
785,CACNB4,O00305
793,CALB1,P05937
794,CALB2,P22676
797,CALCB,P10092
799,CALCR,P30988
811,CALR,P27797
814,CAMK4,Q16566
815,CAMK2A,Q9UQM7
816,CAMK2B,Q13554
817,CAMK2D,Q13557
819,CAMLG,P49069
820,CAMP,P49913
821,CANX,P27824
822,CAPG,P40121
824,CAPN2,P17655
825,CAPN3,P20807
826,CAPNS1,P04632
828,CAPS,Q13938
831,CAST,P20810
832,CAPZB,P47756
833,CARS1,P49589
835,CASP2,P42575
836,CASP3,P42574
837,CASP4,P49662
838,CASP5,P51878
840,CASP7,P55210
841,CASP8,Q14790
843,CASP10,Q92851
844,CASQ1,P31415
845,CASQ2,O14958
847,CAT,P04040
858,CAV2,P51636
859,CAV3,P56539
864,RUNX3,Q13761
865,CBFB,Q13951
866,SERPINA6,P08185
867,CBL,P22681
869,CBLN1,P23435
871,SERPINH1,P50454
873,CBR1,P16152
874,CBR3,O75828
883,KYAT1,Q16773
885,CCK,P06307
890,CCNA2,P20248
891,CCNB1,P14635
898,CCNE1,P24864
902,CCNH,P51946
909,CD1A,P06126
910,CD1B,P29016
912,CD1D,P15813
914,CD2,P06729
916,CD3E,P07766
917,CD3G,P09693
919,CD247,P20963
920,CD4,P01730
921,CD5,P06127
922,CD5L,O43866
923,CD6,P30203
924,CD7,P09564
925,CD8A,P01732
926,CD8B,P10966
928,CD9,P21926
929,CD14,P08571
933,CD22,P20273
939,CD27,P26842
940,CD28,P10747
941,CD80,P33681
942,CD86,P42081
943,TNFRSF8,P28908
944,TNFSF8,P32971
945,CD33,P20138
947,CD34,P28906
948,CD36,P16671
949,SCARB1,Q8WTV0
950,SCARB2,Q14108
951,CD37,P11049
952,CD38,P28907
953,ENTPD1,P49961
954,ENTPD2,Q9Y5L3
955,ENTPD6,O75354
956,ENTPD3,O75355
957,ENTPD5,O75356
959,CD40LG,P29965
960,CD44,P16070
961,CD47,Q08722
962,CD48,P09326
965,CD58,P19256
966,CD59,P13987
967,CD63,P08962
968,CD68,P34810
969,CD69,Q07108
970,CD70,P32970
971,CD72,P21854
972,CD74,P04233
973,CD79A,P11912
974,CD79B,P40259
975,CD81,P60033
976,ADGRE5,P48960
978,CDA,P32320
993,CDC25A,P30304
994,CDC25B,P30305
997,CDC34,P49427
998,CDC42,P60953
999,CDH1,P12830
1000,CDH2,P19022
1001,CDH3,P22223
1002,CDH4,P55283
1004,CDH6,P55285
1005,CDH7,Q9ULB5
1008,CDH10,Q9Y6N8
1009,CDH11,P55287
1010,CDH12,P55289
1013,CDH15,P55291
1015,CDH17,Q12864
1017,CDK2,P24941
1026,CDKN1A,P38936
1027,CDKN1B,P46527
1030,CDKN2B,P42772
1031,CDKN2C,P42773
1032,CDKN2D,P55273
1033,CDKN3,Q16667
1041,CDSN,Q15517
1044,CDX1,P47902
1050,CEBPA,P49715
1051,CEBPB,P17676
1053,CEBPE,Q15744
1054,CEBPG,P53567
1056,CEL,P19835
1066,CES1,P23141
1068,CETN1,Q12798
1069,CETN2,P41208
1070,CETN3,O15182
1071,CETP,P11597
1072,CFL1,P23528
1073,CFL2,Q9Y281
1075,CTSC,P53634
1080,CFTR,P13569
1081,CGA,P01215
1082,CGB3,P0DN86
1084,CEACAM3,P40198
1087,CEACAM7,Q14002
1088,CEACAM8,P31997
1089,CEACAM4,O75871
1101,CHAD,O15335
1109,AKR1C4,P17516
1111,CHEK1,O14757
1113,CHGA,P10645
1114,CHGB,P05060
1116,CHI3L1,P36222
1117,CHI3L2,Q15782
1118,CHIT1,Q13231
1120,CHKB,Q9Y259
1123,CHN1,P15882
1138,CHRNA5,P30532
1142,CHRNB3,Q05901
1152,CKB,P12277
1153,CIRBP,Q14011
1155,TBCB,Q99426
1158,CKM,P06732
1159,CKMT1A,P12532
1160,CKMT2,P17540
1163,CKS1B,P61024
1178,CLC,Q05315
1179,CLCA1,A8K7I4
1191,CLU,P10909
1192,CLIC1,O00299
1193,CLIC2,O15247
1196,CLK2,P49760
1200,TPP1,O14773
1203,CLN5,O75503
1208,CLPS,P04118
1211,CLTA,P09496
1213,CLTC,Q00610
1215,CMA1,P23946
1241,LTB4R,Q15722
1258,CNGB1,Q14028
1260,CNGA2,Q16280
1264,CNN1,P51911
1265,CNN2,Q99439
1267,CNP,P09543
1270,CNTF,P26441
1271,CNTFR,P26992
1272,CNTN1,Q12860
1277,COL1A1,P02452
1280,COL2A1,P02458
1281,COL3A1,P02461
1289,COL5A1,P20908
1291,COL6A1,P12109
1292,COL6A2,P12110
1293,COL6A3,P12111
1295,COL8A1,P27658
1297,COL9A1,P20849
1299,COL9A3,Q14050
1300,COL10A1,Q03692
1302,COL11A2,P13942
1305,COL13A1,Q5TAT6
1306,COL15A1,P39059
1311,COMP,P49747
1312,COMT,P21964
1329,COX5B,P10606
1345,COX6C,P09669
1346,COX7A1,P24310
1356,CP,P00450
1357,CPA1,P15085
1358,CPA2,P48052
1360,CPB1,P15086
1361,CPB2,Q96IY4
1362,CPD,O75976
1363,CPE,P16870
1368,CPM,P14384
1369,CPN1,P15169
1370,CPN2,P22792
1371,CPOX,P36551
1375,CPT1B,Q92523
1378,CR1,P17927
1380,CR2,P20023
1381,CRABP1,P29762
1382,CRABP2,P29373
1384,CRAT,P43155
1385,CREB1,P16220
1388,ATF6B,Q99941
1389,CREBL2,O60519
1390,CREM,Q03060
1392,CRH,P06850
1393,CRHBP,P24387
1396,CRIP1,P50238
1397,CRIP2,P52943
1398,CRK,P46108
1399,CRKL,P46109
1400,CRMP1,Q14194
1401,CRP,P02741
1404,HAPLN1,P10915
1412,CRYBA2,P53672
1414,CRYBB1,P53674
1415,CRYBB2,P43320
1417,CRYBB3,P26998
1418,CRYGA,P11844
1420,CRYGC,P07315
1421,CRYGD,P07320
1427,CRYGS,P22914
1429,CRYZ,Q08257
1431,CS,O75390
1432,MAPK14,Q16539
1435,CSF1,P09603
1436,CSF1R,P07333
1437,CSF2,P04141
1438,CSF2RA,P15509
1439,CSF2RB,P32927
1440,CSF3,P09919
1441,CSF3R,Q99062
1442,CSH1,P0DML2
1445,CSK,P41240
1453,CSNK1D,P48730
1455,CSNK1G2,P78368
1457,CSNK2A1,P68400
1459,CSNK2A2,P19784
1460,CSNK2B,P67870
1462,VCAN,P13611
1463,NCAN,O14594
1464,CSPG4,Q6UVK1
1466,CSRP2,Q16527
1470,CST2,P09228
1471,CST3,P01034
1472,CST4,P01036
1473,CST5,P28325
1474,CST6,Q15828
1476,CSTB,P04080
1477,CSTF1,Q05048
1485,CTAG1A,P78358
1487,CTBP1,Q13363
1489,CTF1,Q16619
1490,CCN2,P29279
1491,CTH,P32929
1493,CTLA4,P16410
1495,CTNNA1,P35221
1496,CTNNA2,P26232
1499,CTNNB1,P35222
1503,CTPS1,P17812
1504,CTRB1,P17538
1506,CTRL,P40313
1508,CTSB,P07858
1509,CTSD,P07339
1510,CTSE,P14091
1511,CTSG,P08311
1512,CTSH,P09668
1513,CTSK,P43235
1515,CTSV,O60911
1519,CTSO,P43234
1520,CTSS,P25774
1522,CTSZ,Q9UBR2
1525,CXADR,P78310
1528,CYB5A,P00167
1540,CYLD,Q9NQC7
1557,CYP2C19,P33261
1576,CYP3A4,P08684
1601,DAB2,P98082
1604,CD55,P08174
1605,DAG1,Q14118
1607,DGKB,Q9Y6T7
1610,DAO,P14920
1611,DAP,P51397
1612,DAPK1,P53355
1613,DAPK3,O43293
1615,DARS1,P14868
1616,DAXX,Q9UER7
1622,DBI,P07108
1629,DBT,P11182
1630,DCC,P43146
1632,ECI1,P42126
1633,DCK,P27707
1634,DCN,P07585
1635,DCTD,P32321
1636,ACE,P12821
1638,DCT,P40126
1644,DDC,P20711
1645,AKR1C1,Q04828
1646,AKR1C2,P52895
1649,DDIT3,P35638
1650,DDOST,P39656
1652,DDT,P30046
1653,DDX1,Q92499
1656,DDX6,P26196
1659,DHX8,Q14562
1660,DHX9,Q08211
1666,DECR1,Q16698
1667,DEFA1,P59665
1668,DEFA3,P59666
1670,DEFA5,Q01523
1672,DEFB1,P60022
1674,DES,P17661
1675,CFD,P00746
1676,DFFA,O00273
1678,TIMM8A,O60220
1690,COCH,O43405
1719,DHFR,P00374
1723,DHODH,Q02127
1727,CYB5R3,P00387
1728,NQO1,P15559
1729,DIAPH1,O60610
1731,SEPTIN1,Q8WYJ6
1737,DLAT,P10515
1738,DLD,P09622
1740,DLG2,Q15700
1741,DLG3,Q92796
1742,DLG4,P78352
1743,DLST,P36957
1746,DLX2,Q07687
1747,DLX3,O60479
1748,DLX4,Q92988
1755,DMBT1,Q9UGM3
1759,DNM1,Q05193
1775,DNASE1L2,Q92874
1783,DYNC1LI2,O43237
1785,DNM2,P50570
1787,TRDMT1,O14717
1794,DOCK2,Q92608
1796,DOK1,Q99704
1800,DPEP1,P16444
1802,DPH2,Q9BQC3
1803,DPP4,P27487
1804,DPP6,P42658
