"SampleID","PC1","PC2","PC3"
"ADNI_2026",-1.57453998310013,2.7972356240401,0.781153129361707
"ADNI_2027",1.81675625584212,0.166772779311863,0.562421284753335
"ADNI_2031",-0.512708089634541,1.14785360674216,-0.552708661579604
"ADNI_2042",0.738298834854655,0.739955231122374,-0.161412633577395
"ADNI_2045",1.45527592961785,0.22314776679839,0.432112538328866
"ADNI_2047",-1.12402297747365,0.986325290025325,-2.08046821897552
"ADNI_2055",-1.3233099762442,2.24009160312264,-0.348242609530327
"ADNI_2058",-1.32488078313981,0.332745425480637,0.222348056609734
"ADNI_2060",-4.36972302445607,3.29876938483754,0.332935259899171
"ADNI_2061",2.12116405417906,-0.14849119023377,0.897592056387724
"ADNI_2063",0.5788712666374,0.567859452005068,-0.267254290753947
"ADNI_2070",2.06161063247057,-0.0672027890581051,0.842616820331314
"ADNI_2072",0.49738869179777,1.0741518472632,-0.817642912504702
"ADNI_2074",1.76435390437017,0.102151389575657,0.526080811810774
"ADNI_2083",-6.51274262858655,2.95047701721541,0.749002315423641
"ADNI_2087",0.595926163026208,1.17707298258968,-0.579230294953013
"ADNI_2093",1.99397689241697,-0.00891415188282757,0.811268227611056
"ADNI_2099",-0.152878157817258,1.81060187469307,-0.346201087074666
"ADNI_2109",-0.385301885163243,1.99861934476861,-1.24310213250002
"ADNI_2116",1.93946180196731,-0.0489552121147959,0.952077070411077
"ADNI_2121",2.00178972271465,-0.0158627079345848,0.80288750233788
"ADNI_2123",1.76387591419444,0.324742362451015,0.612394066414892
"ADNI_2130",0.307365769328974,1.7737503663556,-0.498687419186225
"ADNI_2133",1.89712860541713,0.182878837720167,0.57845387712226
"ADNI_2148",0.153980899217909,1.11710862163242,-0.338895337080772
"ADNI_2151",1.08604536687153,1.22424180858012,-0.362351680172001
"ADNI_2153",1.72075662331132,0.24727693182756,0.563658153945516
"ADNI_2155",0.0565018815139014,1.74047023804205,-1.18970790196259
"ADNI_2164",1.45950039457996,0.67286563053624,0.356298616104239
"ADNI_2167",0.226539232796113,1.17067844860633,-0.479583934797653
"ADNI_2168",0.723377131858857,1.27978524864666,-0.302127757772021
"ADNI_2171",0.863522946893536,1.04319799139179,-0.164409008445148
"ADNI_2182",1.7832049472936,0.324724544170076,0.461871063451876
"ADNI_2187",2.10646157899964,-0.130714107230995,0.883188315543338
"ADNI_2190",1.34664271135646,0.547950948187568,0.262180930784923
"ADNI_2193",0.879888697510133,0.72411941960431,-0.157154339224868
"ADNI_2195",1.72054263544642,0.097961743318387,0.549972762698172
"ADNI_2196",0.41711453287824,1.46008983833493,0.259387264434865
"ADNI_2199",-0.753760387761196,1.52424198002237,-0.322167871711369
"ADNI_2200",-0.488632178588559,0.0804935003122648,-0.796316412364431
"ADNI_2205",-3.87284471684437,2.70772186439352,-1.17911983780276
"ADNI_2208",0.764171353666588,0.993010943350096,-0.185951369479178
"ADNI_2210",-2.01358843195312,2.43685649664568,-0.327309164268049
"ADNI_2213",-0.0351383188992522,1.83708840074495,0.90910627545377
"ADNI_2216",0.22298478488579,0.912921619166481,0.0726205361618645
"ADNI_2219",-0.912154885537342,0.16704332716031,-1.03899891354724
"ADNI_2220",-0.141931225896524,1.50622258149413,-0.973851430485593
"ADNI_2225",1.56957443054695,0.377741033696129,0.516910083336258
"ADNI_2238",0.320649975532184,0.192781569003775,-0.383854332690858
"ADNI_2240",0.099656464954109,1.83218632602126,-0.949889535912658
"ADNI_2247",0.722927485786461,1.12793765732085,-0.363108398269037
"ADNI_2248",-0.00878150120738352,1.84727725470564,-0.450263630310892
"ADNI_2249",-1.55406550654964,0.673091773360587,-0.165675952714458
"ADNI_2264",-0.0060139163111434,1.75981914611538,0.340496896625441
"ADNI_2274",1.05501375405545,1.13861046663571,-0.0626351141662093
"ADNI_2284",0.127696435485118,1.18842641614251,-0.0477465962049933
"ADNI_2301",1.95353818510537,-0.0634966048094506,0.757928547667106
"ADNI_2307",-2.31939255121145,2.86413490595984,-0.0617722112990742
"ADNI_2308",1.4076839052942,0.650016171686522,0.21435313477618
"ADNI_2315",1.00242104424874,0.60823871177642,0.604747009066009
"ADNI_2316",-0.555142240916541,2.00298142007717,-0.743838340053457
"ADNI_2324",0.55895181121116,1.86109811896295,-0.598329681305565
"ADNI_2332",0.883139007102635,-0.0950060001881871,-0.0793183573705405
"ADNI_2333",1.21410421000413,0.577494360808085,0.127156722735322
"ADNI_2336",0.35940548444748,-0.529896084990775,0.510920846853746
"ADNI_2347",0.243889954320491,0.275918991115216,-0.469450788630648
"ADNI_2357",-3.3762259805963,2.39293542830304,-1.4642606236128
"ADNI_2360",0.830735854278702,-0.0788154548278666,0.0801220295204602
"ADNI_2363",1.6154679647495,0.636824054153801,0.288810833310797
"ADNI_2373",1.14206358458462,1.18845885163942,-0.46788060002739
"ADNI_2374",-1.25794265173531,1.26880815040892,-0.899305245015975
"ADNI_2379",1.76110222116624,0.306937369057545,0.51247286995438
"ADNI_2380",0.608191922099634,1.16994237984069,-0.110093934875432
"ADNI_2389",1.49568176424094,0.676329873321355,0.0577879701001542
"ADNI_2390",-0.708762836152029,-0.594508190319962,-0.553674627739018
"ADNI_2391",0.907628382597973,1.1751458189134,0.187469091642666
"ADNI_2392",1.63868002324893,0.428106651257648,0.403474566511169
"ADNI_2394",-0.107604923765326,0.876389874344752,0.0249743132155312
"ADNI_2396",-1.42370466089774,2.68680869687637,-0.546439464197285
"ADNI_2398",1.64045828979881,0.0257353068704696,0.563650071803209
"ADNI_2405",0.0177038930685598,0.626417406098979,-0.44079341712928
"ADNI_2407",0.117818464893859,0.506721203421848,-0.54630528978196
"ADNI_4001",-2.34637937077468,1.54323564450519,-1.10676411570274
"ADNI_4003",0.534007736519057,0.628850100733852,-0.146703646971828
"ADNI_4004",1.52289021254276,0.363462547704367,0.578723406839448
"ADNI_4005",1.27445674796892,1.10404434940663,-0.132899400372017
