Module,SOMAmer,SYMBOL,ENTREZID
green,X3499.77,IL17B,27190
green,X3505.6,LTA|LTB,NA
green,X3508.78,CCL22,6367
green,X3522.57,VIP,7432
green,X3583.54,ARSA,410
green,X3585.54,BSG,682
green,X3600.2,CHIT1,1118
green,X3607.71,DKK3,27122
green,X3616.3,GNS,2799
green,X3622.33,LGMN,5641
green,X3623.84,LY86,9450
green,X3624.3,PRSS27,83886
green,X3630.27,CADM3,57863
green,X3633.70,NID2,22795
green,X3636.37,OLR1,4973
green,X3642.4,CD84,8832
green,X3647.49,TLR4|LY96,NA
green,X3676.15,IGF2R,3482
green,X3708.62,A2M,2
green,X3709.4,GPT,2875
green,X3728.52,SCT,6343
green,X3730.81,TNFRSF4,7293
green,X3736.60,BMP6,654
green,X3738.54,CSF1,1435
green,X3766.51,STX1A,6804
green,X3773.15,TEK,7010
green,X3795.6,ADAM9,8754
green,X3805.16,ESM1,11082
green,X3806.55,EPHA5,2044
green,X3813.3,FYN,2534
green,X3815.14,IL12RB2,3595
green,X3820.68,MAPKAPK2,9261
green,X3821.28,MAPKAPK5,8550
green,X3825.18,MAPK8,5599
green,X3827.22,PAK6,56924
green,X3828.54,PDGFC,56034
green,X3832.51,PTK6,5753
green,X3836.51,UFM1,51569
green,X3847.56,ETHE1,23474
green,X3853.56,MDH1,4190
green,X3858.5,ACP1,52
green,X3879.50,CDC37,11140
green,X3890.8,LDHB,3945
green,X3896.5,PGAM1,5223
green,X3897.61,PDXP,57026
green,X4122.12,DDR1,780
green,X4136.40,IL17D,53342
green,X4139.71,IL6R,3570
green,X4140.3,IL7,3574
green,X4155.3,TNC,3371
green,X4158.54,PLAU,5328
green,X4160.49,MMP2,4313
green,X4184.43,EIF4EBP2,1979
green,X4194.26,ANP32B,10541
green,X4212.5,EPS15L1,58513
green,X4232.19,IGF1R,3480
green,X4234.8,IL1RL1,9173
green,X4238.4,LIN7B,64130
green,X4246.40,L1CAM,3897
green,X4250.23,NSFL1C,55968
green,X4254.6,NUDCD3,23386
green,X4276.10,PEBP1,5037
green,X4278.14,P4HB,5034
green,X4280.47,PSMA2,5683
green,X4306.4,TKT,7086
green,X4309.59,TPI1,7167
green,X4342.10,ICAM1,3383
green,X4389.2,DHH,50846
green,X4392.54,FGF12,2257
green,X4420.7,ADAM12,8038
green,X4423.77,BCL2L1,598
green,X4452.9,LRRTM1,347730
green,X4453.83,LRRTM3,347731
green,X4455.89,MFGE8,4240
green,X4459.68,PCSK7,9159
green,X4464.10,SIGLEC1,6614
green,X4467.49,SPARCL1,8404
green,X4468.21,SPHK2,56848
green,X4474.19,RPS27A,6233
green,X4498.62,NCAM1,4684
green,X4534.10,PRSS22,64063
green,X4535.50,BST1,683
green,X4546.27,ADGRE2,30817
green,X4547.59,FLRT1,23769
green,X4549.78,FUT5,2527
green,X4556.10,IL34,146433
green,X4557.61,KIRREL3,84623
green,X4562.1,NXPH1,30010
green,X4564.2,PLXNC1,10154
green,X4566.24,RSPO2,340419
green,X4569.52,SORCS2,57537
green,X4693.72,HIBADH,11112
green,X4696.2,FABP3,2170
green,X4703.87,LTA,4049
green,X4707.50,YWHAH,7533
green,X4719.58,PDIA3,2923
green,X4771.10,SMPDL3A,10924
green,X4792.51,env,NA
green,X4801.13,LPO,4025
green,X4829.43,SFN,2810
green,X4834.61,EPHA2,1969
green,X4851.25,IL1A,3552
green,X4859.6,BMPR1A,657
green,X4862.63,BMPR2,659
green,X4866.59,NTRK2,4915
green,X4883.56,INS,3630
green,X4886.3,CCL7,6354
green,X4903.72,PPP3CA|PPP3R1,NA
green,X4905.63,COTL1,23406
green,X4906.35,F5,2153
green,X4908.6,ENG,2022
green,X4909.68,LGALS8,3964
green,X4911.49,GSTP1,2950
green,X4917.62,ITGAV|ITGB5,NA
green,X4922.13,CCL19,6363
green,X4923.79,AMH,268
green,X4924.32,MMP1,4312
green,X4925.54,MMP13,4322
green,X4959.2,AGR2,10551
green,X4962.52,CDNF,441549
green,X4964.67,ERAP1,51752
green,X4968.50,CAPG,822
green,X4971.1,CTSZ,1522
green,X4984.83,ESD,2098
green,X4991.12,GPC5,2262
green,X4992.49,GRN,2896
green,X4993.16,GSTA3,2940
green,X5001.6,SCGB2A1,4246
green,X5002.76,MMP14,4323
green,X5004.69,MAPK11,5600
green,X5008.51,SOD2,6648
green,X5015.15,PLA2G7,7941
green,X5019.16,UCHL1,7345
green,X5023.23,ADSL,158
green,X5028.59,CD163,9332
green,X5060.62,CD274,29126
green,X5061.27,ICOSLG,23308
green,X5065.8,CD83,9308
green,X5066.134,CD300C,10871
green,X5069.9,CD55,1604
green,X5080.131,GPNMB,10457
green,X5084.154,IL17RB,55540
green,X5085.18,IL20RA,53832
green,X5090.49,LILRB1,10859
green,X5092.51,JAG1,182
green,X5102.55,MICB,4277
green,X5105.2,RTN4R,65078
green,X5107.7,NOTCH1,4851
green,X5109.24,NRCAM,4897
green,X5110.84,NRXN1,9378
green,X5111.15,NRXN3,9369
green,X5112.73,CD200,4345
green,X5115.31,RELT,84957
green,X5116.62,ROBO2,6092
green,X5121.3,SEMA6B,10501
green,X5122.92,SEMA6A,57556
green,X5124.62,ICAM5,7087
green,X5124.69,ICAM5,7087
green,X5125.6,SIGLEC14,100049587
green,X5129.12,SCARF1,8578
green,X5131.15,TNFRSF19,55504
green,X5132.71,IL27RA,9466
green,X5134.52,HAVCR2,84868
green,X5138.50,TNFRSF12A,51330
green,X5139.32,UNC5C,8633
green,X5140.56,UNC5D,137970
green,X5201.50,PDE9A,5152
green,X5228.25,KIF23,9493
green,X5231.79,PCSK9,255738
green,X5248.68,PPIF,10105
green,X5254.69,PDE3A,5139
green,X5260.80,TYK2,7297
green,X5337.64,CD86,942
green,X5340.24,CASP10,843
green,X5343.74,CPE,1363
green,X5346.24,CPNE1,8904
green,X5349.69,DLL1,28514
green,X5350.14,GPC6,10082
green,X5352.11,TNFRSF14,8764
green,X5354.11,KRT18,3875
green,X5356.2,MIF,4282
green,X5357.60,NLGN4X,57502
green,X5358.3,OMD,4958
green,X5360.9,AKT2,208
green,X5363.51,SEMA3E,9723
green,X5392.73,FAS,355
green,X5404.53,TNFRSF21,27242
green,X5424.55,TNFRSF11A,8792
green,X5430.66,SIRPA,140885
green,X5441.67,TNNI3,7137
green,X5451.1,ALCAM,214
green,X5457.5,COLEC12,81035
green,X5463.22,GAS1,2619
green,X5464.52,GRB2,2885
green,X5468.67,IL17RC,84818
green,X5475.10,PRKCB,5579
green,X5476.66,PRKCG,5582
green,X5478.50,FOLH1,2346
green,X5481.16,RASA1,5921
green,X5483.1,RGMA,56963
green,X5486.73,ICAM2,3384
green,X5490.53,SPOCK1,6695
green,X5491.12,SPOCK2,9806
green,X5496.49,SPON1,10418
green,X5509.7,EGF,1950
green,X5532.53,FGFR1,2260
green,X5542.22,NRP1,8829
green,X5584.21,TCN2,6948
green,X5594.87,MESD,23184
green,X5596.75,CD5,921
green,X5598.3,GREM2,64388
green,X5599.88,PCYOX1L,78991
green,X5605.77,MFNG,4242
green,X5609.92,TAFA5,25817
green,X5610.32,FAM171A1,221061
green,X5611.56,DEFB108B,245911
green,X5613.75,LAT2,7462
green,X5617.41,NPFF,8620
green,X5618.50,FAM3B,54097
green,X5620.13,PAM,5066
green,X5621.64,THSD1,55901
green,X5624.66,FOLR3,2352
green,X5628.21,SEMA3G,56920
green,X5630.48,CD300A,11314
green,X5632.6,CRTAC1,55118
green,X5633.65,LILRB2,10288
green,X5634.39,POFUT1,23509
green,X5635.66,TREM2,54209
green,X5637.81,NTNG1,22854
green,X5638.23,COLGALT1,79709
green,X5639.49,NETO1,81832
green,X5643.2,LCN8,138307
green,X5646.20,RNASE6,6039
green,X5650.9,PDIA6,10130
green,X5654.70,TMX3,54495
green,X5656.53,ENDOU,8909
green,X5675.6,TNC,3371
green,X5680.54,OBP2B,29989
green,X5682.13,VASN,114990
green,X5687.5,PRKCSH,5589
green,X5688.65,CBLN4,140689
green,X5689.1,DEFB112,245915
green,X5694.57,SMOC1,64093
green,X5698.60,TNXB,7148
green,X5699.19,FAM189A2,NA
green,X5703.26,OLFM1,10439
green,X5713.9,IFNL3,282617
green,X5722.78,PRCP,5547
green,X5724.58,SBSN,374897
green,X5731.1,SPINK6,404203
green,X5734.13,NECTIN4,81607
green,X5735.54,C1GALT1C1,29071
green,X5737.61,SEMA4D,10507
green,X5738.25,TNC,3371
green,X5740.17,ROBO1,6091
green,X5741.55,RNASE3,6037
green,X5742.14,ACP6,51205
green,X5744.12,MENT,NA
green,X5746.37,EFNB1,1947
green,X5749.53,CLPS,1208
green,X5755.29,GIP,2695
green,X5759.10,EFNA3,1944
green,X5762.35,SPAG11B,10407
green,X5764.4,GALNT2,2590
green,X5798.3,BID,637
green,X5801.72,NGF,4803
green,X5810.25,TDGF1,NA
green,X5825.49,IFNGR1,3459
green,X5834.18,IL9,3578
green,X5837.49,LIFR,3977
green,X5846.24,NOG,9241
green,X5861.78,HAAO,23498
green,X5864.10,ALDOA,226
green,X5897.58,GRP,2922
green,X5909.51,NME1,4830
green,X5927.4,CCN6,8838
green,X5930.54,TNNI3,7137
green,X5934.1,FTH1|FTL,NA
green,X5939.42,TNFSF12,8742
green,X5947.90,THPO,7066
green,X5957.30,SST,6750
green,X5963.9,DMKN,93099
green,X5980.55,BOLA3,388962
green,X5981.6,None,NA
green,X5992.50,CD8A,925
green,X6024.68,CPE,1363
green,X6042.52,TNC,3371
green,X6049.64,PTPRS,5802
green,X6077.63,ADA2,51816
green,X6079.59,PXYLP1,92370
green,X6086.15,CHRDL2,25884
green,X6107.3,CELA1,1990
green,X6151.18,MAP2K3,5606
green,X6172.7,UBC,7316
green,X6207.10,PSAP,5660
green,X6221.1,ADPGK,83440
green,X6227.1,KLK10,5655
green,X6229.13,CSH1|CSH2,NA
green,X6230.56,CER1,9350
green,X6232.54,CD86,942
green,X6236.51,CTHRC1,115908
green,X6245.4,NECTIN2,5819
green,X6247.9,SIRPB1,10326
green,X6248.68,FAS,355
green,X6255.74,CPXM1,56265
green,X6257.56,CGREF1,10669
green,X6259.60,TNC,3371
green,X6260.14,TNC,3371
green,X6294.11,BAGE2,85319
green,X6304.8,C1QTNF1,114897
green,X6321.65,PCDHGA10,56106
green,X6334.9,GGT2,NA
green,X6342.10,NPNT,255743
green,X6350.43,APOC2,344
green,X6352.8,INSRR,3645
green,X6356.3,CPB1,1360
green,X6359.50,POMGNT2,84892
green,X6361.49,PTPRR,5801
green,X6364.7,TAPBPL,55080
green,X6369.82,DEAF1,10522
green,X6373.54,DLK1,8788
green,X6375.75,XXYLT1,152002
green,X6378.2,C5orf38,NA
green,X6379.62,ADAMTSL2,9719
green,X6380.23,MRPL58,3396
green,X6382.17,MANBA,4126
green,X6383.90,TLL1,7092
green,X6385.63,VWA1,64856
green,X6388.21,CCDC126,90693
green,X6393.63,HSP90B1,7184
green,X6400.33,TP53I13,90313
green,X6404.20,C1QL1,10882
green,X6409.57,ADGRF5,221395
green,X6410.26,INSL4,3641
green,X6414.8,OAF,220323
green,X6420.4,SDHAF2,54949
green,X6421.52,IFNA16,3449
green,X6423.66,C1QL2,165257
green,X6431.68,PCYOX1,51449
green,X6433.57,FAM20A,54757
green,X6444.15,PSG3,5671
green,X6448.36,SEMA3C,10512
green,X6451.64,ASPN,54829
green,X6453.70,LILRB4,11006
green,X6455.52,HAPLN4,404037
green,X6458.6,RPN1,6184
green,X6462.12,TIMP4,7079
green,X6467.65,POGLUT1,56983
green,X6470.19,FBLN1,2192
green,X6478.2,IGLON5,402665
green,X6480.1,CANT1,124583
green,X6491.59,KLK15,55554
green,X6494.60,SPACA5,389852
green,X6496.60,DLK1,8788
green,X6502.50,CRIM1,51232
green,X6507.16,NCAM2,4685
green,X6510.56,RNF128,79589
green,X6511.17,TAFA4,151647
green,X6512.68,KREMEN1,83999
green,X6517.14,GDF10,2662
green,X6518.85,GHRL,51738
green,X6521.35,NPTX2,4885
green,X6528.95,EXTL2,2135
green,X6544.33,NELL1,4745
green,X6546.41,DKK2,27123
green,X6547.83,TMPRSS11D,9407
green,X6553.68,CFAP45,25790
green,X6556.5,ENPP5,59084
green,X6565.68,CDCP1,64866
green,X6568.18,HEPACAM2,253012
green,X6572.10,LRRTM4,80059
green,X6574.11,FCMR,9214
green,X6575.79,ADAMTSL1,92949
green,X6576.1,ART4,420
green,X6577.64,LAMA4,3910
green,X6580.29,PZP,5858
green,X6586.19,ADAM11,4185
green,X6587.6,LRFN5,145581
green,X6590.54,NRP2,8828
green,X6597.24,FAM174A,345757
green,X6599.5,APCDD1,147495
green,X6603.18,ANOS1,3730
green,X6609.22,CNP,1267
green,X6612.90,BRICD5,283870
green,X6620.82,LINGO1,84894
green,X6626.81,CHST12,55501
green,X6629.3,DEFB1,1672
green,X6641.60,UBB,7314
green,X6647.55,UBC,7316
green,X6649.51,NTN1,9423
green,X6651.74,UBB,7314
green,X6653.58,CD47,961
green,X6706.18,ALPG,251
green,X6713.4,LRP11,84918
green,X6897.38,B3GAT3,26229
green,X6904.14,LRRTM2,26045
green,X6914.15,AMIGO2,347902
green,X6918.183,CCK,885
green,X6923.1,PLOD2,5352
green,X6929.10,ST8SIA3,51046
green,X6930.95,ST8SIA6,338596
green,X6931.10,CTAG1A,246100
green,X6937.251,C1orf43,NA
green,X6938.21,PCDHGA12,26025
green,X6947.4,ST3GAL6,10402
green,X6965.19,CNTNAP2,26047
green,X6966.144,STX1B,112755
green,X6984.6,IGSF8,93185
green,X6990.44,SDF2L1,23753
green,X6998.106,ASPH,444
green,X7003.4,GALNT10,55568
green,X7008.13,EVA1C,59271
green,X7015.8,LILRB5,10990
green,X7019.13,SEMA7A,8482
green,X7020.13,CHST5,23563
green,X7038.45,ST8SIA4,7903
green,X7046.6,C20orf173,140873
green,X7049.2,ADAM23,8745
green,X7050.5,NEGR1,257194
green,X7060.2,ERO1A,30001
green,X7065.1,MPIG6B,80739
green,X7066.199,FAM209B,388799
green,X7071.23,MAN1B1,11253
green,X7083.74,MATN4,8785
green,X7084.1,DRAXIN,374946
green,X7089.42,SYT11,23208
green,X7090.17,GALNT1,2589
green,X7092.7,PDILT,204474
green,X7096.30,RMDN1,51115
green,X7099.33,FSTL5,56884
green,X7108.7,SMIM24,284422
green,X7110.2,DNAJB11,51726
green,X7118.24,IGDCC3,9543
green,X7127.3,APOA2,336
green,X7128.9,VWA2,340706
green,X7131.207,TNC,3371
green,X7136.107,HBE1,3046
green,X7137.8,MSRA,4482
green,X7139.14,SLITRK4,139065
green,X7143.9,None,NA
green,X7144.234,KAZALD1,81621
green,X7146.16,PDIA4,9601
green,X7146.5,PDIA4,9601
green,X7152.5,HAVCR2,84868
green,X7167.102,VAPA,9218
green,X7179.69,NFASC,23114
green,X7184.13,CEACAM7,1087
green,X7186.111,STX3,6809
green,X7190.50,EPHA4,2043
green,X7192.37,IFNLR1,163702
green,X7194.36,NPTN,27020
green,X7195.119,EPHA7,2045
green,X7198.197,FAM20B,9917
green,X7199.3,SYN3,8224
green,X7202.107,SEMA6C,10500
green,X7203.125,RFNG,5986
green,X7210.25,APLP1,333
green,X7211.2,RNASE1,6035
green,X7218.87,ATP1B2,482
green,X7227.75,COCH,1690
green,X7228.2,ST6GALNAC6,30815
green,X7239.9,GSTM1,2944
green,X7244.16,IGFLR1,79713
green,X7251.64,C1QTNF3,114899
green,X7258.5,PRG2,5553
green,X7551.33,LRRC32,2615
green,X7624.19,ANK2,287
green,X7628.40,CRELD1,78987
green,X7655.11,NPPB,4879
green,X7693.13,TNFRSF10B,8795
green,X7696.3,NBR1,4077
green,X7717.95,CFTR,1080
green,X7721.81,FMR1,2332
green,X7738.299,STX2,2054
green,X7744.10,LRP12,29967
green,X7745.3,CISD1,55847
green,X7748.11,NDUFV2,4729
green,X7752.31,CLEC4D,338339
green,X7757.5,HLA-DQA2,3118
green,X7758.217,RNF215,200312
green,X7768.10,CPM,1368
green,X7776.20,UNC5B,219699
green,X7785.1,EFNB3,1949
green,X7795.14,KLRC3,3823
green,X7796.10,CD79A,973
green,X7799.3,KIR2DL5A,57292
green,X7803.4,CHST1,8534
green,X7808.5,GLCE,26035
green,X7810.20,C1QTNF5,114902
green,X7815.49,IGFBPL1,347252
green,X7818.101,GBP6,163351
green,X7826.1,DCLK3,85443
green,X7832.181,PDIA3,2923
green,X7835.2,BNIP3L,665
green,X7839.99,TAFA3,284467
green,X7840.64,LGMN,5641
green,X7841.84,ESAM,90952
green,X7849.3,QPCT,25797
green,X7859.21,PCDHGC3,5098
green,X7860.9,HERC4,26091
green,X7861.9,ROR2,4920
green,X7863.50,PGRMC1,10857
green,X7865.126,PLAAT3,11145
green,X7870.8,CNDP1,84735
green,X7886.26,SPTLC1,10558
green,X7887.57,COX5B,1329
green,X7893.19,OLR1,4973
green,X7898.29,MDM1,56890
green,X7915.31,APLP2,334
green,X7917.17,CPD,1362
green,X7920.30,ST8SIA2,8128
green,X7922.5,ADM,133
green,X7923.41,SEMA4C,54910
green,X7927.16,ST6GALNAC5,81849
green,X7932.23,SYT8,90019
green,X7933.75,ADAM22,53616
green,X7934.11,NDRG4,65009
green,X7944.1,KIR3DL3,115653
green,X7945.10,SEMA6A,57556
green,X7947.19,TEPSIN,146705
green,X7952.2,VTI1A,143187
green,X7953.20,SLAMF1,6504
green,X7956.11,MICOS10,440574
green,X7959.34,CDH7,1005
green,X7960.53,POTEG,404785
green,X7968.15,CRTAM,56253
green,X7969.163,WFDC11,259239
green,X7970.315,ART3,419
green,X7975.97,UNC5A,90249
green,X7981.230,B3GALT6,126792
green,X7983.1,PCDHGC5,56097
green,X7986.98,NAALAD2,10003
green,X7994.41,ERO1B,56605
green,X7995.16,None,NA
green,X7997.118,DOC2B,8447
green,X7999.23,ENTPD1,953
green,X8000.17,KIR2DL5A,57292
green,X8002.27,TMPRSS5,80975
green,X8003.57,LGI3,203190
green,X8005.1,MXRA7,439921
green,X8006.12,DNAJB12,54788
green,X8007.19,CTSB,1508
green,X8009.121,SURF1,6834
green,X8011.96,ACP7,390928
green,X8013.9,LMAN2L,81562
green,X8014.359,MANEA,79694
green,X8018.43,VSIG2,23584
green,X8019.73,STMN3,50861
green,X8021.59,MRPL14,64928
green,X8032.23,MCCD1,401250
green,X8033.1,DNAJC18,202052
green,X8035.6,C1orf198,84886
green,X8036.75,FSHB,2488
green,X8038.41,NSDHL,50814
green,X8039.41,FAM177A1,283635
green,X8040.9,LEMD1,93273
green,X8044.90,XG,7499
green,X8045.3,KIR3DL3,115653
green,X8048.9,FTMT,94033
green,X8052.115,NLGN1,22871
green,X8053.16,DNAJB14,79982
green,X8060.7,NRG2,9542
green,X8061.102,FAM171B,165215
green,X8066.38,SYT9,143425
green,X8068.43,MYORG,57462
green,X8070.88,DLG4,1742
green,X8073.3,CD84,8832
green,X8074.32,TMEM70,54968
green,X8076.4,SPACA3,124912
green,X8079.39,EID3,493861
green,X8080.24,MSMP,692094
green,X8081.55,PLD5,200150
green,X8087.250,RNF13,11342
green,X8089.173,NR4A1,3164
green,X8091.16,MASP1,5648
green,X8092.29,IL6R,3570
green,X8093.13,MYORG,57462
green,X8099.42,SPON2,10417
green,X8102.239,RHEX,440712
green,X8104.21,IL10RA,3587
green,X8106.15,SSR1,6745
green,X8107.12,TMEM234,56063
green,X8220.15,FAM241B,219738
green,X8221.19,MIF,4282
green,X8225.86,EPHB2,2048
green,X8229.1,GXYLT1,283464
green,X8231.122,FLT1,2321
green,X8232.90,JAML,120425
green,X8233.2,ITIH5,80760
green,X8235.48,CHGB,1114
green,X8237.56,SOSTDC1,25928
green,X8239.223,BCHE,590
green,X8240.207,GPNMB,10457
green,X8242.9,CLEC2L,154790
green,X8244.16,FUT8,2530
green,X8245.27,ICAM5,7087
green,X8246.9,PCSK9,255738
green,X8248.222,SIGLEC14,100049587
green,X8249.124,ALK,238
green,X8250.2,PTPRJ,5795
green,X8252.2,NOTUM,147111
green,X8253.2,POMGNT1,55624
green,X8255.34,IRAG1,10335
green,X8257.71,OXT,5020
green,X8258.22,UXS1,80146
green,X8261.51,STOM,2040
green,X8262.20,APOD,347
green,X8264.43,DLL1,28514
green,X8269.327,ARSK,153642
green,X8273.84,IL31RA,133396
green,X8274.64,STX7,8417
green,X8285.64,ADCYAP1,116
green,X8289.8,GPNMB,10457
green,X8295.16,OLFM2,93145
green,X8296.117,POGLUT3,143888
green,X8299.66,LILRA4,23547
green,X8300.82,PEX14,5195
green,X8305.18,SULF2,55959
green,X8306.54,PRRG1,5638
green,X8314.71,GNS,2799
green,X8327.26,DPEP2,64174
green,X8329.166,CDH12,1010
green,X8330.1,LRP11,84918
green,X8337.65,PTPRU,10076
green,X8348.4,EPHB2,2048
green,X8353.15,SCN2B,6327
green,X8355.80,None,NA
green,X8356.88,OXT,5020
green,X8358.30,PRDX3,10935
green,X8360.169,NCR1,9437
green,X8363.18,ELAPOR2,222223
green,X8364.74,UST,10090
green,X8368.102,TNFRSF1B,7133
green,X8376.25,LHB,3972
green,X8394.56,RNASE2,6036
green,X8396.42,FAAH2,158584
green,X8398.277,RARRES1,5918
green,X8406.17,IGF1,3479
green,X8407.84,NOTCH2,4853
green,X8409.3,RSPO2,340419
green,X8427.118,RSPO3,84870
green,X8428.102,NTM,50863
green,X8446.4,ADCYAP1,116
green,X8464.31,RSPO4,343637
green,X8465.52,CTSH,1512
green,X8474.6,ROR1,4919
green,X8476.11,CHGA,1113
green,X8484.24,LEP,3952
green,X8485.7,KEAP1,9817
green,X8556.5,RETREG1,54463
green,X8587.21,SPINK14,408187
green,X8589.13,CDCP1,64866
green,X8606.39,GPNMB,10457
green,X8624.16,UNC5D,137970
green,X8644.46,CTSH,1512
green,X8660.33,OLFML3,56944
green,X8687.26,TMEM106B,54664
green,X8697.38,GPC1,2817
green,X8702.42,OSCAR,126014
green,X8756.41,KCNE5,23630
green,X8758.2,PCDHA7,56141
green,X8773.172,EMILIN3,90187
green,X8778.3,NOG,9241
green,X8790.6,ARSA,410
green,X8791.151,CA5A,763
green,X8795.48,TFRC,7037
green,X8804.39,COL20A1,57642
green,X8807.13,SNX1,6642
green,X8810.26,HEPACAM,220296
green,X8811.24,BAMBI,25805
green,X8832.55,BST2,684
green,X8838.10,GOLM2,113201
green,X8853.2,CLEC4A,50856
green,X8859.51,CA11,770
green,X8869.5,BTN2A1,11120
green,X8871.14,NUDC,10726
green,X8877.22,EVA1C,59271
green,X8885.6,CACNA2D3,55799
green,X8888.33,SMIM9,100132963
green,X8889.5,CCPG1,9236
green,X8891.7,CPVL,54504
green,X8892.14,PEAR1,375033
green,X8900.28,NEO1,4756
green,X8901.40,YWHAG,7532
green,X8906.60,LRTM2,654429
green,X8922.4,TMCC3,57458
green,X8923.94,GALNT16,57452
green,X8924.55,CALY,50632
green,X8931.124,G0S2,50486
green,X8932.1,ENTPD6,955
green,X8941.4,NLGN3,54413
green,X8942.2,MRPL21,219927
green,X8946.38,NR1H4,9971
green,X8952.65,CSF3,1440
green,X8955.60,GLT8D1,55830
green,X8957.72,ERLEC1,27248
green,X8958.51,CHL1,10752
green,X8959.61,ADAM17,6868
green,X8960.3,ERAP2,64167
green,X8963.8,VTI1B,10490
green,X8967.6,DUSP26,78986
green,X8969.49,CD14,929
green,X8971.9,NRXN1,9378
green,X8975.26,CNOT9,9125
green,X8976.13,B4GALNT1,2583
green,X8980.19,CD200R1L,344807
green,X8983.7,GOLM1,51280
green,X8986.2,PHGDH,26227
green,X8989.40,SCUBE1,80274
green,X8991.115,FCRL4,83417
green,X8992.1,CEMIP2,23670
green,X8993.151,RIPK2,8767
green,X8994.65,SLAMF8,56833
green,X8997.4,NPTXR,23467
green,X8999.19,CEACAM3,1084
green,X9000.177,SLC3A1,6519
green,X9005.16,PLXNA1,5361
green,X9013.60,NTN1,9423
green,X9014.18,TMEM25,84866
green,X9017.58,LCT,3938
green,X9018.38,PCDH10,57575
green,X9027.10,NLGN2,57555
green,X9028.5,MTPAP,55149
green,X9030.56,NDUFAF8,284184
green,X9037.1,STX18,53407
green,X9038.12,JTB,10899
green,X9039.47,TOR1AIP1,26092
green,X9040.144,EPDR1,54749
green,X9044.1,CNTNAP5,129684
green,X9051.13,IL32,9235
green,X9057.19,ADRM1,11047
green,X9061.3,ARHGEF10,9639
green,X9070.1,C17orf67,339210
green,X9077.10,MAN1A2,10905
green,X9082.25,SEL1L2,80343
green,X9092.33,ANGPTL1,9068
green,X9094.5,CLEC4C,170482
green,X9096.80,IRAG2,4033
green,X9099.19,SYT5,6861
green,X9100.32,C5orf46,389336
green,X9107.59,ARMC10,83787
green,X9116.28,HEPACAM2,253012
green,X9117.4,IL36G,56300
green,X9118.7,PSD2,84249
green,X9126.171,NT5DC3,51559
green,X9169.14,SUMO3,6612
green,X9171.11,CSRP3,8048
green,X9173.21,PGM1,5236
green,X9175.48,DSCAM,1826
green,X9176.3,MUC1,4582
green,X9177.6,FAM3B,54097
green,X9178.30,NRG1,3084
green,X9180.6,IFNGR2,3460
green,X9182.3,LRP1,4035
green,X9183.7,IFNAR1,3454
green,X9190.7,CD63,967
green,X9204.33,POMC,5443
green,X9212.22,CTSF,8722
green,X9216.100,PLXNB2,23654
green,X9218.7,FAS,355
green,X9219.70,NENF,29937
green,X9220.7,EPHB3,2049
green,X9221.6,ITPRIPL1,150771
green,X9223.11,MANF,7873
green,X9226.6,TMUB2,79089
green,X9231.23,BPNT2,54928
green,X9232.1,ROBO4,54538
green,X9233.71,TFPI2,7980
green,X9234.8,TWSG1,57045
green,X9235.3,PLXDC1,57125
green,X9243.10,LYG1,129530
green,X9244.27,PPT1,5538
green,X9248.36,MYDGF,56005
green,X9249.17,TMEM9,252839
green,X9251.28,MAN2B2,23324
green,X9255.5,IL17C,27189
green,X9256.78,NPTX1,4884
green,X9259.35,TNFRSF21,27242
green,X9261.14,EPHB6,2051
green,X9263.57,SIAE,54414
green,X9264.11,CTSO,1519
green,X9265.10,GLIPR1,11010
green,X9269.7,BTD,686
green,X9275.2,SIGLEC5,8778
green,X9276.7,CPA2,1358
green,X9279.7,IGSF11,152404
green,X9288.7,FKBP7,51661
green,X9294.45,MFAP2,4237
green,X9296.15,PTPRD,5789
green,X9297.12,B3GNT8,374907
green,X9303.9,ICOSLG,23308
green,X9305.89,IFNGR2,3460
green,X9313.27,CBLN1,869
green,X9316.67,WFDC1,58189
green,X9321.400,NMB,4828
green,X9327.3,LYPD1,116372
green,X9329.28,TREML1,340205
green,X9332.6,DEFB136,613210
green,X9333.59,ERP27,121506
green,X9337.43,TAC1,6863
green,X9339.204,FKBP2,2286
green,X9340.17,FKBP14,55033
green,X9341.1,PDGFD,80310
green,X9343.16,IL2RB,3560
green,X9345.436,WFDC13,164237
green,X9350.3,FSTL4,23105
green,X9357.4,CREG1,8804
green,X9359.9,DLK2,65989
green,X9360.33,EDIL3,10085
green,X9361.7,PCDHAC2,56134
green,X9368.64,LRTM1,57408
green,X9369.174,LRRC4C,57689
green,X9370.69,GGH,8836
green,X9377.25,KITLG,4254
green,X9385.4,GAA,2548
green,X9388.18,MCEE,84693
green,X9391.60,PCSK1N,27344
green,X9394.19,CPQ,10404
green,X9401.57,TRABD2A,129293
green,X9416.77,CPM,1368
green,X9436.2,ID1,3397
green,X9451.20,UMOD,7369
green,X9456.34,IL22RA2,116379
green,X9459.7,FAS,355
green,X9468.8,LMAN2,10960
green,X9470.15,METTL24,728464
green,X9474.22,ASGR2,433
green,X9484.75,DSG2,1829
green,X9490.3,FAM241A,132720
green,X9503.1,NMS,129521
green,X9504.19,RAB27A,5873
green,X9506.10,APOL1,8542
green,X9509.4,TMEM38B,55151
green,X9511.61,NXPH2,11249
green,X9514.46,EFCAB14,9813
green,X9525.1,PTK7,5754
